ID:	Unidade:	Cargo/Nome:	Idade:	Status do Integrante:	Fonte de Recrutamento:	Data de Contratação:
FUNC001	RJ	Assistente / Eloá	27	Ativo	Site de Vagas	08/02/2011
FUNC002	MG	Assistente / Enzo	32	Ativo	Site da Empresa	12/04/2011
FUNC003	SP	Assistente / Agatha	38	Ativo	Site da Empresa	26/04/2011
FUNC004	ES	Consultor / Enrico	23	Ativo	Site de Vagas	30/04/2011
FUNC005	MG	Operador / Analu	36	Ativo	Site de Vagas	18/05/2011
FUNC006	ES	Supervisor / Joana	46	Ativo	Feira de Contratação	19/05/2011
FUNC007	MG	Assistente / Josué	40	Ativo	Site de Vagas	30/05/2011
FUNC008	ES	Assistente / Vitória	28	Ativo	Feira de Contratação	08/06/2011
FUNC009	MG	Operador / Vitor	31	Ativo	Site de Vagas	26/06/2011
FUNC010	MG	Assistente / Maya	40	Ativo	Indicação Funcionários	12/07/2011
FUNC011	ES	Gerente / Benício	34	Ativo	Site de Vagas	28/07/2011
FUNC012	ES	Consultor / Mirella	36	Ativo	Site da Empresa	18/08/2011
FUNC013	SP	Operador / Benjamin	42	Ativo	Site de Vagas	10/09/2011
FUNC014	RJ	Assistente / Maria Cecília	32	Ativo	Site de Vagas	19/10/2011
FUNC015	SP	Operador / Oliver	31	Ativo	Indicação Funcionários	28/10/2011
FUNC016	MG	Supervisor / Antonella	47	Ativo	Site de Vagas	11/11/2011
FUNC017	SP	Consultor / Davi Miguel	39	Ativo	Feira de Contratação	09/01/2012
FUNC018	RJ	Consultor / Maitê	26	Ativo	Site de Vagas	06/02/2012
FUNC019	RJ	Assistente / Lucas	40	Ativo	Indicação Funcionários	28/02/2012
FUNC020	ES	Gerente / Ana Beatriz	35	Ativo	Feira de Contratação	01/04/2012
FUNC021	MG	Assistente / Tomás	28	Ativo	Site de Vagas	10/05/2012
FUNC022	SP	Assistente / Caio	38	Ativo	Site da Empresa	31/05/2012
FUNC023	ES	Consultor / João Miguel	40	Ativo	Site de Vagas	09/06/2012
FUNC024	ES	Assistente / Ruan	36	Ativo	Site de Vagas	19/06/2012
FUNC025	RJ	Operador / Otávio	30	Ativo	Site de Vagas	04/07/2012
FUNC026	ES	Consultor / Bella	31	Ativo	Indicação Funcionários	16/10/2012
FUNC027	MG	Assistente / Eduardo	33	Ativo	Indicação Funcionários	06/11/2012
FUNC028	MG	Gerente / Anthony	41	Ativo	Feira de Contratação	09/11/2012
FUNC029	ES	Assistente / Lorenzo	26	Ativo	Feira de Contratação	12/11/2012
FUNC030	RJ	Assistente / Nathan	23	Ativo	Feira de Contratação	17/12/2012
FUNC031	ES	Supervisor / Rael	37	Ativo	Feira de Contratação	23/12/2012
FUNC032	SP	Consultor / Maria Flor	48	Ativo	Site da Empresa	14/01/2013
FUNC033	RJ	Operador / Melissa	38	Ativo	Site da Empresa	15/01/2013
FUNC034	SP	Consultor / Daniel	39	Ativo	Site da Empresa	15/01/2013
FUNC035	ES	Operador / Valentina	39	Ativo	Indicação Funcionários	31/03/2013
